season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,1,0,"Mills to Warner, no run",FALSE,FALSE,FALSE,219889,David Warner,0,1,459257,Tymal Mills,0.1,0,0,0,,,,,,,FALSE,"141 kph delivery to start. Pace, bounce, carry. Short of a length outside off, Warner slaps a cut to cover. That should ease some nerves all around",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,2,0,"Mills to Warner, no run",FALSE,FALSE,FALSE,219889,David Warner,0,2,459257,Tymal Mills,0.2,0,0,0,,,,,,,FALSE,"138 kph, full and straight this time, not much swing. Not much movement. But the pace is there. Worked to square leg. Warner wanted one, Dhawan didn't. Still nervy out there with so much noise",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,3,4,"Mills to Warner, FOUR runs",TRUE,FALSE,FALSE,219889,David Warner,4,3,459257,Tymal Mills,0.3,0,4,0,,,,,,,FALSE,"Warner may not have had a great Test series against India, but he's right at home here, in the format, in this competition. Back of a length delivery outside off, Warner opens the bat face and guides the ball through point. Somehow finds the gap",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,4,0,"Mills to Warner, no run",FALSE,FALSE,FALSE,219889,David Warner,4,4,459257,Tymal Mills,0.4,0,4,0,,,,,,,FALSE,"good length outside off, Warner allows the ball to hit the bat, instead of going towards the ball. Hit to cover",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,5,2,"Mills to Warner, 2 wides",FALSE,TRUE,FALSE,219889,David Warner,4,4,459257,Tymal Mills,0.4,0,6,0,,,,,,,FALSE,"yikes, wayward. 146 kph though. Drifts down leg. Jadhav, RCB's new keeper, fumbles the collection",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,5,0,"Mills to Dhawan, no run",FALSE,FALSE,FALSE,28235,Shikhar Dhawan,0,1,459257,Tymal Mills,0.5,0,6,0,,,,,,,FALSE,"145 kph, harrying Dhawan for pace. Full on leg, no swing. So when it hits Dhawan's pads, it looks like it's sliding down. It is",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,1,6,1,"Mills to Dhawan, 1 leg bye",FALSE,FALSE,FALSE,28235,Shikhar Dhawan,0,2,459257,Tymal Mills,1,0,6,0,,,,,,,FALSE,"decent start from both sides. Good length on the thigh pad, Dhawan misses a flick. Off the body towards square leg for a leg bye",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,2,1,1,"Choudhary to Dhawan, 1 run",FALSE,FALSE,FALSE,28235,Shikhar Dhawan,1,3,527299,Aniket Choudhary,0.1,0,1,0,,,,,,,FALSE,"good length delivery outside off,  a hint of swing. Not much. Dhawan pushes towards mid-off and sets off for a single. A quality run. Intent matters, and adds a run too.",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,2,2,4,"Choudhary to Warner, FOUR runs",TRUE,FALSE,FALSE,219889,David Warner,8,5,527299,Aniket Choudhary,0.2,0,5,0,,,,,,,FALSE,"over mid-off. Sees a full delivery, and lets his hands through the line of the ball. The stroke was accentuated with width. Full and wide outside off, Warner bends his knees and lifts the ball over mid-off. Shot",
2017,1082591,SRH v RCB,SRH,RCB,SRH,1,2,3,1,"Choudhary to Warner, 1 no ball",FALSE,FALSE,TRUE,219889,David Warner,8,6,527299,Aniket Choudhary,0.2,0,6,0,,,,,,,FALSE,"the first no-ball of IPL 10. Full delivery on the pads, Warner misses a flick. Off the pad towards the keeper",
