season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082593,GL v KKR,GL,KKR,GL,1,1,1,0,"Boult to Roy, no run",False,False,False,298438,Jason Roy,0,1,277912,Trent Boult,0.1,0,0,0,,,,,,,False,"nice start. Full and straight, 141 kph. Some swing, not a lot. Worked to midwicket","  0.1    Boult to Roy, no run, on a good length and a hint of shape back into Roy, he prods forward and clips it straight to the fielder at mid-wicket  "
2017,1082593,GL v KKR,GL,KKR,GL,1,1,2,4,"Boult to Roy, FOUR runs",True,False,False,298438,Jason Roy,4,2,277912,Trent Boult,0.2,0,4,0,,,,,,,False,"lovely start. Just opened up his stance a touch. Knew there would be some inswing. Full and straight, drilled through mid-off. Full face of the bat. Great timing","  0.2    Boult to Roy, FOUR, cracking shot, Roy is off and running in his IPL career. On a good length and just outside off, he leans forward, presents the full face of the bat and drives it back past the non-striker, no need to run for those  "
2017,1082593,GL v KKR,GL,KKR,GL,1,1,3,0,"Boult to Roy, no run",False,False,False,298438,Jason Roy,4,3,277912,Trent Boult,0.3,0,4,0,,,,,,,False,"drags that length back right away. Good bowling. Saw if there was some swing early on, didn't quite work so he pulled his length back, forcing Roy to defend","  0.3    Boult to Roy, no run, on a length and on the stumps, defended towards the on-side  "
2017,1082593,GL v KKR,GL,KKR,GL,1,1,4,0,"Boult to Roy, no run",False,False,False,298438,Jason Roy,4,4,277912,Trent Boult,0.4,0,4,0,,,,,,,False,"full and wide outside off, mis-timed drive to mid-on. Leaden footed too. That's how he plays though","  0.4    Boult to Roy, no run, fuller length delivery and angling across the right-hander, Roy went with hard hands on the drive, gets an inside edge towards mid-on  "
2017,1082593,GL v KKR,GL,KKR,GL,1,1,5,4,"Boult to Roy, FOUR runs",True,False,False,298438,Jason Roy,8,5,277912,Trent Boult,0.5,0,8,0,,,,,,,False,"full and wide outside off, Roy strides forward and carves a punchy cut through backward point.","  0.5    Boult to Roy, FOUR, nicely played by Roy, width on offer from Boult. He leans into the shot, opens the face of the bat at the last moment and steers it behind square on the on-side, gets it past backward point and into the fence  "
2017,1082593,GL v KKR,GL,KKR,GL,1,1,6,0,"Boult to Roy, no run",False,False,False,298438,Jason Roy,8,6,277912,Trent Boult,1.0,0,8,0,,,,,,,False,"good length delivery on off, a shovelled stab to midwicket. Tidy over for Gujarat. Lovely pace in this surface","  0.6    Boult to Roy, no run, Boult shortens his length now, Roy goes back and pushes it towards mid-on  "
2017,1082593,GL v KKR,GL,KKR,GL,1,2,1,1,"Chawla to McCullum, 1 run",False,False,False,37737,Brendon McCullum,1,1,32966,Piyush Chawla,0.1,0,1,0,,,,,,,False,"the googly to start. Flat on off, pushed to long-on. Didn't quite pick that, read it off the pitch","  1.1    Chawla to Brendon McCullum, 1 run, Chawla's first ball is dragged short and on the stumps, pulled away towards long-on for a single  "
2017,1082593,GL v KKR,GL,KKR,GL,1,2,2,0,"Chawla to Roy, no run",False,False,False,298438,Jason Roy,8,7,32966,Piyush Chawla,0.2,0,1,0,,,,,,,False,"another googly, outside off, full. Driven back to the bowler. Doesn't look comfortable against legspin","  1.2   Chawla to Roy, no run, flighted delivery outside off, Roy gets forward and pushes it back at the bowler "
2017,1082593,GL v KKR,GL,KKR,GL,1,2,3,4,"Chawla to Roy, FOUR runs",True,False,False,298438,Jason Roy,12,8,32966,Piyush Chawla,0.3,0,5,0,,,,,,,False,"well, there is an option if you're not picking it. A flat straight delivery on middle and off. Roy gets outside the line and reverse-sweeps through point. So much power, a more productive area for Roy","  1.3    Chawla to Roy, FOUR, lovely, the reverse sweep in full flow from Roy, gets down low and gets it into the gap behind square on the off-side. It was picked up from the middle-stump line as well  "
2017,1082593,GL v KKR,GL,KKR,GL,1,2,4,1,"Chawla to Roy, 1 wide",False,True,False,298438,Jason Roy,12,8,32966,Piyush Chawla,0.3,0,6,0,,,,,,,False,the quicker delivery but ill-directed. Down leg. Wide,"  1.4    Chawla to Roy, wide, Chawla drops one short and sends it sliding down the leg-side, Roy was looking to clip and missed, called as a wide  "
2017,1082593,GL v KKR,GL,KKR,GL,1,2,4,0,"Chawla to Roy, no run",False,False,False,298438,Jason Roy,12,9,32966,Piyush Chawla,0.4,0,6,0,,,,,,,False,"not picking it again. Flat and quick on leg, hits Roy on the pad. Goes through his legs to the keeper","  1.4    Chawla to Roy, no run, that went through Roy's legs, but he was well outside the line of the leg-stump. Pushed through flatter and quicker, Roy was shuffling in his crease on the flick and missed  "
2017,1082593,GL v KKR,GL,KKR,GL,1,2,5,1,"Chawla to Roy, 1 run",False,False,False,298438,Jason Roy,13,10,32966,Piyush Chawla,0.5,0,7,0,,,,,,,False,"yikes, a rank long-hop. Filthy. Sat up for Roy too. Pulled to deep square leg","  1.5    Chawla to Roy, 1 run, that's a real long hop and Chawla gets away with it, Roy rocked back on the pull, went too hard on the shot and only managed an inside edge behind square on the on-side  "
